Species,Family,Higher_level,Diversity,Size/Weight/Age,Length Type,Min depth,Max depth,Northernmost Lat (north is +),Southernmost Lat,Max abs lat,Min temp,Max temp,Trophic Level,distribution,habitat,burrowing,Activity,Citation,Categories,Counter
Apogon_imberbis,Apogonidae,,,15,SL male/unsexed,10,200,45,-5,45,NA,NA,3.8,"Eastern Atlantic and Mediterranean Sea:  Portugal to Morocco and the Azores.  Elsewhere, southward to Gulf of Guinea.",reef-associated; non-migratory; marine; depth range 10 - 200 m (Ref. 4738),no,Crepuscular,Aguzzi et al 2014,,1
Spicara_maena,Centracanthidae,Centracanthidae,5,25,SL male/unsexed,30,130,47,28,47,NA,NA,4.2,"Eastern Atlantic:  Portugal, Morocco, and Canary Islands including the Mediterranean and Black Sea.",pelagic-neritic; marine; depth range 30 - 130 m (Ref. 7349),,Crepuscular,Aguzzi et al 2014,,1
Serranus_cabrilla,Serranidae,,,40,SL male/unsexed,5,500,57,-35,57,NA,NA,3.4,"Eastern Atlantic:  English Channel southward round the Cape of Good Hope to Natal, South Africa (Ref. 4319), including Azores, Madeira and the Canary Islands (Ref. 5506).  Also in the Mediterranean and western Black Sea and possibly in the Red Sea (Ref. 5506).",demersal; marine; depth range 5 - 500 m (Ref. 5506),,Diurnal,Aguzzi et al 2014,,1
Diplodus_cervinus_cervinus,Sparidae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eastern Atlantic:  Bay of Biscay and the Mediterranean to the Strait of Gibraltar and South Africa including Madeira and the Canary islands, but absent from Cape Verde, off Senegal and the Gulf of Guinea.",reef-associated; oceanodromous (Ref. 51243); marine; depth range 30 - 300 m (Ref. 3688),,Diurnal,Aguzzi et al 2014,,1
Diplodus_sargus_sargus,Sparidae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eastern Atlantic:  Mediterranean and Black Sea.  Eastern Central Atlantic:  Madeira Island (Ref. 74541).,"demersal; oceanodromous (Ref. 51243); brackish; marine; depth range 0 - 50 m (Ref. 12460), usually 0 - 50 m (Ref. 13780)",,Diurnal,Aguzzi et al 2014,,1
Diplodus_vulgaris,Sparidae,,,45,TL male/unsexed,0,160,50,-40,50,NA,NA,3.5,Eastern Atlantic:  Bay of Biscay to Cape Verde and the Canary Islands including the Mediterranean and Black Sea (off Bulgaria); also from Angola to South Africa.,"benthopelagic; oceanodromous (Ref. 51243); marine; depth range 0 - 160 m, usually 0 - 30 m (Ref. 13780)",,Diurnal,Aguzzi et al 2014,,1
Oblada_melanura,Sparidae,,,34,TL male/unsexed,? ,30,44,-15,44,NA,NA,3.4,"Eastern Atlantic:  Bay of Biscay, the Mediterranean, and from the Strait of Gibraltar  to Angola.  Also known from Madeira, Cape Verde and the Canary Islands.",benthopelagic; oceanodromous (Ref. 51243); marine; depth range ? - 30 m (Ref. 3688),,Crepuscular,Aguzzi et al 2014,,1
Scarus_festivus,Scaridae,,,45,TL male/unsexed,3,30,30,-24,30,NA,NA,2,"Indo-Pacific:  East Africa to the Tuamoto Islands, north to the Ryukyu Islands, south to Lord Howe Island.",reef-associated; brackish; marine; depth range 3 - 30 m (Ref. 9710),,Diurnal,Alex - the genus sleeps in mucous cocoons,,
Scarus_flavipectoralis,Scaridae,,,40,TL male/unsexed,2,40,19,-24,24,NA,NA,2,"Western Central Pacific:  Philippines to the Solomon Islands, north to the Marshall Islands, south to Scott Reef and the Great Barrier Reef.  Recently recorded from Tonga (Ref. 53797).","reef-associated; marine; depth range 2 - ? m (Ref. 2689), usually 20 - ? m (Ref. 9710)",,Diurnal,Alex - the genus sleeps in mucous cocoons,,
Scarus_guacamaia,Scaridae,,,120,TL male/unsexed,3,25,NA,NA,NA,NA,NA,2,"Western Atlantic:  Bermuda, Florida (USA), and the Bahamas to Argentina; absent in the northern Gulf of Mexico.",reef-associated; marine; depth range 3 - 25 m (Ref. 9710),,Diurnal,Alex - the genus sleeps in mucous cocoons,,
